scorer,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3
bodyparts,snout,snout,snout,rightear,rightear,rightear,leftear,leftear,leftear,tailbase,tailbase,tailbase,snout,snout,snout,rightear,rightear,rightear,leftear,leftear,leftear,tailbase,tailbase,tailbase,snout,snout,snout,rightear,rightear,rightear,leftear,leftear,leftear,tailbase,tailbase,tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
123,818.201,636.303,0.9990000128746033,860.649,607.049,1.0,875.011,593.163,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
124,818.062,635.099,1.0,860.458,606.666,1.0,875.047,592.985,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
125,815.162,636.487,1.0,866.506,611.014,1.0,873.77,592.756,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
126,814.38,639.737,1.0,866.11,613.645,1.0,874.738,590.168,1.0,,,0.0,829.193,715.203,0.9980000257492065,762.275,616.57,1.0,788.059,643.375,1.0,,,0.0,,,,,,,,,,,,
127,813.885,640.535,1.0,865.339,614.233,1.0,872.158,591.088,1.0,,,0.0,829.94,708.929,1.0,762.182,617.311,1.0,785.306,644.331,1.0,,,0.0,,,,,,,,,,,,
128,813.557,640.66,1.0,866.455,614.64,1.0,873.357,591.006,1.0,,,0.0,828.947,713.84,1.0,765.132,621.033,1.0,786.251,648.038,1.0,,,0.0,,,,,,,,,,,,
129,814.417,641.273,1.0,860.859,613.354,1.0,875.496,591.674,1.0,,,0.0,829.369,716.195,1.0,767.656,623.464,1.0,788.149,650.425,1.0,,,0.0,,,,,,,,,,,,
130,818.103,644.776,1.0,863.438,616.269,1.0,875.158,595.272,1.0,,,0.0,831.587,715.925,1.0,767.447,621.986,1.0,791.158,651.087,1.0,,,0.0,,,,,,,,,,,,
131,818.492,645.125,1.0,864.412,615.931,1.0,875.19,595.191,1.0,,,0.0,829.961,718.33,1.0,766.515,622.378,1.0,791.216,651.16,1.0,,,0.0,,,,,,,,,,,,
132,817.312,645.005,1.0,864.466,616.28,1.0,875.579,595.025,1.0,,,0.0,831.818,718.0,1.0,768.163,622.562,1.0,790.331,652.667,1.0,,,0.0,,,,,,,,,,,,
133,815.359,642.375,1.0,867.331,614.355,1.0,877.963,593.851,1.0,,,0.0,832.129,717.57,1.0,768.192,623.294,1.0,788.742,650.605,1.0,,,0.0,,,,,,,,,,,,
134,815.751,641.658,1.0,869.642,612.501,1.0,879.195,591.494,1.0,,,0.0,829.999,718.461,1.0,767.941,624.171,1.0,788.116,651.424,1.0,,,0.0,,,,,,,,,,,,
135,814.712,641.227,1.0,869.21,612.016,1.0,879.136,591.39,1.0,,,0.0,829.465,718.577,1.0,767.188,623.452,1.0,787.537,651.101,1.0,,,0.0,,,,,,,,,,,,
136,815.529,640.682,1.0,869.636,611.822,1.0,879.272,591.217,1.0,,,0.0,829.031,719.418,1.0,767.2,622.935,1.0,787.326,650.863,1.0,,,0.0,,,,,,,,,,,,
137,816.633,640.18,1.0,871.246,611.76,1.0,879.869,589.673,1.0,,,0.0,829.607,718.09,1.0,764.869,622.204,1.0,785.456,650.855,1.0,,,0.0,,,,,,,,,,,,
138,816.355,637.957,1.0,874.118,608.876,1.0,879.35,591.831,1.0,,,0.0,829.249,716.61,1.0,766.093,625.333,1.0,785.073,649.925,1.0,,,0.0,,,,,,,,,,,,
139,816.646,635.575,1.0,873.303,609.797,1.0,880.269,589.654,1.0,,,0.0,830.353,715.631,1.0,764.24,623.837,1.0,784.739,648.716,1.0,,,0.0,,,,,,,,,,,,
140,816.85,634.378,1.0,876.604,610.013,1.0,879.812,587.825,1.0,,,0.0,830.264,715.431,1.0,763.556,622.909,1.0,783.116,652.095,1.0,,,0.0,,,,,,,,,,,,
141,820.707,631.511,1.0,877.77,609.744,1.0,883.399,587.747,1.0,,,0.0,830.692,714.951,1.0,763.11,622.631,1.0,783.8,650.721,1.0,,,0.0,,,,,,,,,,,,
142,818.508,629.179,1.0,877.431,610.408,1.0,884.277,587.559,1.0,,,0.0,832.624,710.964,1.0,762.789,623.944,1.0,782.88,649.382,1.0,,,0.0,,,,,,,,,,,,
143,816.443,626.206,1.0,876.306,608.384,1.0,883.308,586.836,1.0,,,0.0,830.464,714.663,1.0,763.127,623.93,1.0,782.9,648.777,1.0,,,0.0,,,,,,,,,,,,
144,815.598,625.667,1.0,876.121,607.588,1.0,883.068,586.278,1.0,,,0.0,829.867,714.395,1.0,763.509,624.33,1.0,782.013,648.948,1.0,,,0.0,,,,,,,,,,,,
145,813.609,626.342,1.0,876.292,607.423,1.0,882.85,586.041,1.0,,,0.0,829.407,716.09,1.0,764.072,625.235,1.0,780.838,650.242,1.0,,,0.0,,,,,,,,,,,,
146,816.073,626.101,1.0,875.638,606.55,1.0,882.899,586.06,1.0,,,0.0,829.011,715.412,1.0,766.321,624.516,1.0,783.147,649.677,1.0,,,0.0,,,,,,,,,,,,
147,813.45,629.41,1.0,875.715,606.212,1.0,882.453,585.506,1.0,,,0.0,829.518,718.992,1.0,762.495,622.751,1.0,780.83,651.576,1.0,,,0.0,,,,,,,,,,,,
